FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
010823;0000;;59,7187;;
010824;0000;;25,8478;;
010825;0000;;11,9691;;
010826;0000;;18,4614;;
010827;0000;;10,1208;;
010828;0000;;16,7021;;
010829;0000;;67,2083;;
010830;0000;;80,5521;;
010831;0000;;72,1978;;
010901;0000;;75,4395;;
010902;0000;;71,313;;
010903;0000;;93,4912;;
010904;0000;;77,313;;
010905;0000;;84,1541;;
010906;0000;;30,5396;;
010907;0000;;15,4312;;
010908;0000;;54,3291;;
010909;0000;;25,7562;;
010910;0000;;43,226;;
010911;0000;;33,6833;;
010912;0000;;45,6478;;
010913;0000;;37,3416;;
010914;0000;;52,575;;
010915;0000;;66,7062;;
010916;0000;;48,7916;;
010917;0000;;34,4291;;
010918;0000;;25,4104;;
010919;0000;;26,9875;;
010920;0000;;32,1874;;
010921;0000;;38,6874;;
010922;0000;;44,0145;;
010923;0000;;37,677;;
010924;0000;;20,5333;;
010925;0000;;27,5062;;
010926;0000;;32,1187;;
010927;0000;;13,0875;;
010928;0000;;24,75;;
010929;0000;;43,452;;
010930;0000;;21,6833;;
011001;0000;;18,5854;;
011002;0000;;25,6062;;
011003;0000;;28,5271;;
011004;0000;;24,9458;;
011005;0000;;30,2458;;
011006;0000;;40,5396;;
011007;0000;;26,6708;;
011008;0000;;28,9604;;
011009;0000;;10,2479;;
011010;0000;;25,2542;;
011011;0000;;29,1;;
011012;0000;;32,6874;;
011013;0000;;26,7833;;
011014;0000;;27,976;;
011015;0000;;40,6543;;
011016;0000;;29,002;;
011017;0000;;23,4937;;
011018;0000;;27,7021;;
011019;0000;;38,2291;;
011020;0000;;29,4187;;
011021;0000;;26,8416;;
011022;0000;;43,9295;;
011023;0000;;38,7812;;
011024;0000;;56,7583;;
011025;0000;;17,6604;;
011026;0000;;25,7848;;
011027;0000;;24,7262;;
011028;0000;;16,8291;;
011029;0000;;24,3604;;
011030;0000;;23,5854;;
011031;0000;;26,8646;;
011101;0000;;19,1771;;
011102;0000;;16,0687;;
011103;0000;;24,0522;;
011104;0000;;28,9354;;
011105;0000;;23,5625;;
011106;0000;;24,8646;;
011107;0000;;31,7396;;
011108;0000;;48,0541;;
011109;0000;;40,7104;;
011110;0000;;18,4625;;
011111;0000;;19,9229;;
011112;0000;;32,7363;;
011113;0000;;14,7913;;
011114;0000;;22,5146;;
011115;0000;;21,0477;;
011116;0000;;29,8396;;
011117;0000;;33,0187;;
011118;0000;;15,8604;;
011119;0000;;26,4104;;
011120;0000;;16,4587;;
011121;0000;;22,2391;;
011122;0000;;17,8347;;
011123;0000;;26,3646;;
011124;0000;;28,9826;;
011125;0000;;25,4717;;
011126;0000;;35,1375;;
011127;0000;;29,127;;
011128;0000;;36,9771;;
011129;0000;;40,8416;;
011130;0000;;46,5333;;
011201;0000;;35,3478;;
011202;0000;;31,6583;;
011203;0000;;38,3895;;
011204;0000;;33,7104;;
011205;0000;;31,9417;;
011206;0000;;27,525;;
011207;0000;;38,575;;
011208;0000;;34,6146;;
011209;0000;;33,7562;;
011210;0000;;37,7;;
