FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090415;0000;;47,0707;;
090416;0000;;;;
090417;0000;;26,9875;;
090418;0000;;38,7458;;
090419;0000;;36,4083;;
090420;0000;;65,8165;;
090421;0000;;;69,0739;
090422;0000;;26,85;;
090423;0000;;70,5332;;
090424;0000;;128,629;;
090425;0000;;65,379;;
090426;0000;;50,1916;;
090427;0000;;78,0208;;
090428;0000;;50,2916;;
090429;0000;;83,1434;;
090430;0000;;85,8124;;
090501;0000;;106,508;;
090502;0000;;62,9791;;
090503;0000;;49,4457;;
090504;0000;;57,1624;;
090505;0000;;53,075;;
090506;0000;;87,0166;;
090507;0000;;60,9916;;
090508;0000;;77,4749;;
090509;0000;;54,0458;;
090510;0000;;41,1416;;
090511;0000;;62,0374;;
090512;0000;;;;
090513;0000;;172,659;;
090514;0000;;174,462;;
090515;0000;;63,9374;;
090516;0000;;50,5041;;
090517;0000;;92,3041;;
090518;0000;;77,1749;;
090519;0000;;41,7;;
090520;0000;;;;
090521;0000;;38,3624;;
090522;0000;;16,9958;;
090523;0000;;98,3124;;
090524;0000;;55,5999;;
090525;0000;;92,0999;;
090526;0000;;102,083;;
090527;0000;;232,075;;
090528;0000;;186,487;;
090529;0000;;;202,858;
090530;0000;;;127,852;
090531;0000;;;126,861;
090601;0000;;;161,468;
090602;0000;;;;
090603;0000;;144,333;;
090604;0000;;94,0781;;
090605;0000;;121,729;;
090606;0000;;113,942;;
090607;0000;;45,6874;;
090608;0000;;48,9041;;
090609;0000;;125,975;;
090610;0000;;128,583;;
090611;0000;;198,896;;
090612;0000;;141,083;;
090613;0000;;128,275;;
090614;0000;;56,8375;;
090615;0000;;27,1166;;
090616;0000;;13,3375;;
090617;0000;;25,9417;;
090618;0000;;54,6749;;
090619;0000;;78,7249;;
090620;0000;;42,7458;;
090621;0000;;66,4291;;
090622;0000;;86,5522;;
090623;0000;;87,6083;;
090624;0000;;86,3208;;
090625;0000;;121,646;;
090626;0000;;134,912;;
090627;0000;;13,8667;;
090628;0000;;13,875;;
090629;0000;;26,8;;
090630;0000;;28,6125;;
090701;0000;;25,775;;
090702;0000;;16,7;;
090703;0000;;21,1583;;
090704;0000;;11,8291;;
090705;0000;;33,9916;;
090706;0000;;21,1416;;
090707;0000;;134,762;;
090708;0000;;225,787;;
090709;0000;;29,2375;;
090710;0000;;146,667;;
090711;0000;;193,933;;
090712;0000;;89,4415;;
090713;0000;;175,904;;
090714;0000;;173,146;;
090715;0000;;181,375;;
090716;0000;;106,258;;
090717;0000;;80,4082;;
090718;0000;;34,7;;
090719;0000;;20,3833;;
090720;0000;;90,329;;
090721;0000;;71,4749;;
090722;0000;;167,033;;
090723;0000;;212,212;;
090724;0000;;230,677;;
090725;0000;;121,637;;
090726;0000;;191,292;;
090727;0000;;316,378;;
090728;0000;;306,716;;
090729;0000;;318,562;;
090730;0000;;126,021;;
090731;0000;;34,6583;;
090801;0000;;82,8624;;
090802;0000;;93,2832;;
090803;0000;;48,4416;;
090804;0000;;29,7291;;
090805;0000;;33,3791;;
090806;0000;;76,1458;;
090807;0000;;108,471;;
090808;0000;;146,337;;
090809;0000;;35,3958;;
090810;0000;;22,7375;;
090811;0000;;44,0166;;
090812;0000;;22,7125;;
090813;0000;;36,975;;
090814;0000;;14,4625;;
090815;0000;;31,45;;
090816;0000;;26,8083;;
090817;0000;;28,2625;;
090818;0000;;28,9083;;
090819;0000;;60,4457;;
090820;0000;;;29,1049;
090821;0000;;;19,4301;
090822;0000;;22,275;;
090823;0000;;11,7583;;
090824;0000;;17,775;;
090825;0000;;19,6208;;
090826;0000;;34,8666;;
090827;0000;;36,1625;;
090828;0000;;18,2542;;
090829;0000;;21,2625;;
090830;0000;;31,8708;;
090831;0000;;60,2999;;
090901;0000;;122,062;;
090902;0000;;103,7;;
090903;0000;;81,6957;;
090904;0000;;46,3749;;
090905;0000;;11,1375;;
090906;0000;;30,5083;;
090907;0000;;58,6332;;
090908;0000;;84,4332;;
090909;0000;;45,7457;;
090910;0000;;43,0458;;
090911;0000;;13,975;;
090912;0000;;19,3333;;
090913;0000;;35,1708;;
090914;0000;;19,4833;;
090915;0000;;42,4874;;
090916;0000;;56,0666;;
090917;0000;;21,8291;;
090918;0000;;18,4833;;
090919;0000;;21,1458;;
090920;0000;;13,625;;
090921;0000;;18,1166;;
090922;0000;;39,8207;;
090923;0000;;36,6666;;
090924;0000;;38,025;;
090925;0000;;26,8375;;
090926;0000;;50,1707;;
090927;0000;;78,0624;;
090928;0000;;11,1958;;
090929;0000;;11,9375;;
090930;0000;;16,1458;;
091001;0000;;15,525;;
091002;0000;;25,8583;;
091003;0000;;37,2791;;
091004;0000;;18,7208;;
091005;0000;;23,5541;;
091006;0000;;82,0582;;
091007;0000;;53,2499;;
091008;0000;;43,7999;;
091009;0000;;13,9541;;
091010;0000;;10,2917;;
091011;0000;;10,7542;;
091012;0000;;13,4667;;
091013;0000;;19,875;;
091014;0000;;47,4416;;
091015;0000;;21,5478;;
091016;0000;;18,3125;;
091017;0000;;25,7916;;
091018;0000;;15,9375;;
091019;0000;;17,2375;;
091020;0000;;29,2333;;
091021;0000;;17,3826;;
091022;0000;;6,53333;;
091023;0000;;16,2333;;
091024;0000;;15,0208;;
091025;0000;;11,175;;
091026;0000;;26,0791;;
091027;0000;;18,3416;;
091028;0000;;8,46249;;
091029;0000;;4,64999;;
091030;0000;;9,30832;;
091031;0000;;20,1958;;
091101;0000;;12,3;;
091102;0000;;20,5708;;
091103;0000;;21,55;;
091104;0000;;11,875;;
091105;0000;;11,1625;;
091106;0000;;17,1583;;
091107;0000;;39,5999;;
091108;0000;;25,7875;;
091109;0000;;14,8541;;
091110;0000;;64,45;;
091111;0000;;13,525;;
091112;0000;;10,6917;;
091113;0000;;12,0708;;
