FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
051001;0000;;8,75832;;
051002;0000;;3,18333;;
051003;0000;;5,07916;;
051004;0000;;6,3826;;
051005;0000;;2,62083;;
051006;0000;;2,84166;;
051007;0000;;5,02916;;
051008;0000;;4,36086;;
051009;0000;;1,9875;;
051010;0000;;2,81666;;
051011;0000;;1,55;;
051012;0000;;5,14999;;
051013;0000;;7,22499;;
051014;0000;;5,52916;;
051015;0000;;2,69583;;
051016;0000;;5,29166;;
051017;0000;;5,71249;;
051018;0000;;2,10416;;
051019;0000;;2,36087;;
051020;0000;;4,66249;;
051021;0000;;4,50869;;
051022;0000;;4,06666;;
051023;0000;;2,49166;;
051024;0000;;3,8;;
051025;0000;;4,46249;;
051026;0000;;7,48332;;
051027;0000;;7,19999;;
051028;0000;;4,25416;;
051029;0000;;2,53749;;
051030;0000;;1,62083;;
051031;0000;;0,887499;;
051101;0000;;1,4125;;
051102;0000;;1,65;;
051103;0000;;3,76666;;
051104;0000;;5,84999;;
051105;0000;;2,19565;;
051106;0000;;3,375;;
051107;0000;;2,39166;;
051108;0000;;3,425;;
051109;0000;;2,34583;;
051110;0000;;1,95;;
051111;0000;;2,17916;;
051112;0000;;1,42916;;
051113;0000;;1,5375;;
051114;0000;;4,8;;
051115;0000;;5,27499;;
051116;0000;;5,09166;;
051117;0000;;3,84166;;
051118;0000;;3,67083;;
051119;0000;;2,3375;;
051120;0000;;2,88333;;
051121;0000;;1,525;;
051122;0000;;3,55416;;
051123;0000;;2,54583;;
051124;0000;;1,74166;;
051125;0000;;3,10833;;
051126;0000;;2,6375;;
051127;0000;;0,879166;;
051128;0000;;3,03333;;
051129;0000;;1,59583;;
051130;0000;;1,50833;;
051201;0000;;2,45416;;
051202;0000;;2,32381;;
051203;0000;;2,52083;;
051204;0000;;1,19583;;
051205;0000;;2,76666;;
051206;0000;;3,67916;;
051207;0000;;4,07916;;
051208;0000;;3,96666;;
051209;0000;;3,70416;;
051210;0000;;1,76666;;
051211;0000;;0,758332;;
051212;0000;;1,25417;;
051213;0000;;1,70833;;
051214;0000;;1,71667;;
051215;0000;;1,30952;;
051216;0000;;1,04166;;
051217;0000;;1,86666;;
051218;0000;;0,429166;;
051219;0000;;1,52917;;
051220;0000;;1,95;;
051221;0000;;1,87083;;
051222;0000;;1,03333;;
051223;0000;;2,2375;;
051224;0000;;2,37916;;
051225;0000;;2,01666;;
051226;0000;;2,10416;;
051227;0000;;2,84999;;
051228;0000;;1,40416;;
051229;0000;;1,72916;;
051230;0000;;1,9375;;
051231;0000;;1,37083;;
060101;0000;;1,38333;;
060102;0000;;1,35833;;
060103;0000;;2,32105;;
060104;0000;;3,61666;;
060105;0000;;0,887499;;
060106;0000;;1,96667;;
060107;0000;;2,4;;
060108;0000;;1,05833;;
060109;0000;;0,375;;
060110;0000;;0,829165;;
060111;0000;;0,674999;;
060112;0000;;0,504166;;
060113;0000;;0,179166;;
060114;0000;;0,1125;;
060115;0000;;0,233333;;
060116;0000;;0,687499;;
060117;0000;;0,345833;;
060118;0000;;0,845833;;
060119;0000;;1,90833;;
060120;0000;;1,73043;;
060121;0000;;2,6;;
060122;0000;;1,40417;;
060123;0000;;1,15833;;
060124;0000;;1,225;;
060125;0000;;1,46667;;
060126;0000;;1,6125;;
060127;0000;;1,59167;;
060128;0000;;1,25833;;
060129;0000;;0,941666;;
060130;0000;;1,4375;;
060131;0000;;2,17083;;
060201;0000;;2,1375;;
060202;0000;;1,325;;
060203;0000;;2,8875;;
060204;0000;;1,22083;;
060205;0000;;1,50833;;
060206;0000;;1,6125;;
060207;0000;;1,56087;;
060208;0000;;1,52083;;
060209;0000;;1,99166;;
060210;0000;;1,93333;;
060211;0000;;;10,2458;
060212;0000;;;9,92915;
060213;0000;;2,65263;;
060214;0000;;2,02083;;
060215;0000;;1,7;;
060216;0000;;2,14166;;
060217;0000;;2,825;;
060218;0000;;3,09583;;
060219;0000;;2,42916;;
060220;0000;;2,29583;;
060221;0000;;3,81666;;
060222;0000;;2,57826;;
060223;0000;;2,46666;;
060224;0000;;2,70833;;
060225;0000;;1,8125;;
060226;0000;;2,71666;;
060227;0000;;4,12916;;
060228;0000;;3,15416;;
060301;0000;;4,02083;;
060302;0000;;3,2625;;
060303;0000;;2,75833;;
060304;0000;;4,79583;;
060305;0000;;3,65833;;
060306;0000;;3,5875;;
060307;0000;;3,53913;;
060308;0000;;2,29583;;
060309;0000;;3,81739;;
060310;0000;;6,20416;;
060311;0000;;7,23912;;
060312;0000;;6,52916;;
060313;0000;;4,37083;;
060314;0000;;5,09583;;
060315;0000;;5,86666;;
060316;0000;;5,47499;;
060317;0000;;5,00832;;
060318;0000;;2,81666;;
060319;0000;;2,8625;;
060320;0000;;4,16666;;
060321;0000;;4,93749;;
060322;0000;;8,24582;;
060323;0000;;7,81249;;
060324;0000;;8,54166;;
060325;0000;;5,75416;;
060326;0000;;6,45833;;
060327;0000;;6,63332;;
060328;0000;;5,62083;;
060329;0000;;6,79166;;
060330;0000;;7,17271;;
060331;0000;;5,62083;;
060401;0000;;5,31249;;
060402;0000;;6,01665;;
060403;0000;;5,38749;;
060404;0000;;6,76666;;
060405;0000;;7,52916;;
060406;0000;;6,62499;;
060407;0000;;7,61666;;
060408;0000;;6,43749;;
060409;0000;;3,70833;;
060410;0000;;3,92083;;
060411;0000;;6,74999;;
060412;0000;;3,53333;;
060413;0000;;5,45651;;
060414;0000;;6,50416;;
060415;0000;;5,88332;;
060416;0000;;7,82082;;
060417;0000;;10,6167;;
060418;0000;;4,70833;;
060419;0000;;0,660869;;
060420;0000;;5,25832;;
060421;0000;;6,52777;;
060422;0000;;;0;
060423;0000;;;0;
060424;0000;;;;
060425;0000;;;;
060426;0000;;4,21666;;
060427;0000;;4,68749;;
060428;0000;;5,82916;;
060429;0000;;7,12083;;
060430;0000;;8,92082;;
060501;0000;;8,21666;;
060502;0000;;8,14165;;
060503;0000;;3,15;;
060504;0000;;4,675;;
060505;0000;;9,16249;;
060506;0000;;7,81249;;
060507;0000;;6,82082;;
060508;0000;;7,67083;;
060509;0000;;3,05238;;
060510;0000;;5,74583;;
060511;0000;;8,59166;;
060512;0000;;10,0458;;
060513;0000;;5,8;;
060514;0000;;4,57082;;
060515;0000;;6,09583;;
060516;0000;;6,14166;;
060517;0000;;4,87499;;
060518;0000;;;8,11249;
060519;0000;;;15,675;
060520;0000;;10,6682;;
060521;0000;;;15,525;
060522;0000;;12,125;;
