FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
041122;0000;;2,93478;;
041123;0000;;2,29565;;
041124;0000;;4,66363;;
041125;0000;;6,64285;;
041126;0000;;3,86521;;
041127;0000;;4,89565;;
041128;0000;;4,16087;;
041129;0000;;4,72608;;
041130;0000;;11,9826;;
041201;0000;;10,5652;;
041202;0000;;8,66086;;
041203;0000;;8,5565;;
041204;0000;;12,1739;;
041205;0000;;;;
041206;0000;;;;
041207;0000;;5,86521;;
041208;0000;;4,03912;;
041209;0000;;6,69564;;
041210;0000;;5,29565;;
041211;0000;;7,32608;;
041212;0000;;6,83478;;
041213;0000;;5,10869;;
041214;0000;;7,23043;;
041215;0000;;8,47824;;
041216;0000;;12,1956;;
041217;0000;;9,19998;;
041218;0000;;6,99564;;
041219;0000;;10,4739;;
041220;0000;;5,2826;;
041221;0000;;6,20434;;
041222;0000;;11,7217;;
041223;0000;;7,56087;;
041224;0000;;6,40868;;
041225;0000;;3,43043;;
041226;0000;;1,86522;;
041227;0000;;3,76086;;
041228;0000;;6,36955;;
041229;0000;;9,49998;;
041230;0000;;10,6043;;
041231;0000;;12,3565;;
050101;0000;;1,46956;;
050102;0000;;1,94782;;
050103;0000;;3,21304;;
050104;0000;;4,10434;;
050105;0000;;5,96521;;
050106;0000;;8,6826;;
050107;0000;;5,64347;;
050108;0000;;8,54347;;
050109;0000;;3,49565;;
050110;0000;;3,91304;;
050111;0000;;7,9826;;
050112;0000;;6,6739;;
050113;0000;;2,76956;;
050114;0000;;1,8;;
050115;0000;;3,15;;
050116;0000;;1,36363;;
050117;0000;;2,42857;;
050118;0000;;3,24782;;
050119;0000;;3,2913;;
050120;0000;;2,69091;;
050121;0000;;;8,11739;
050122;0000;;6,65217;;
050123;0000;;6,23809;;
050124;0000;;;8,84781;
050125;0000;;3,05217;;
050126;0000;;4;;
050127;0000;;2,72174;;
050128;0000;;8,84781;;
050129;0000;;2,90909;;
050130;0000;;4,92608;;
050131;0000;;6,68695;;
050201;0000;;5,7826;;
050202;0000;;7,90869;;
050203;0000;;4,40869;;
050204;0000;;2,7909;;
050205;0000;;2,76086;;
050206;0000;;2,2826;;
050207;0000;;2,36522;;
050208;0000;;5,31738;;
050209;0000;;13,9609;;
050210;0000;;18,9666;;
050211;0000;;3,86956;;
050212;0000;;5,06956;;
050213;0000;;4,12173;;
050214;0000;;9,84781;;
050215;0000;;3,05217;;
050216;0000;;3,01304;;
050217;0000;;2,86522;;
050218;0000;;2,61739;;
050219;0000;;2,10434;;
050220;0000;;2,04348;;
050221;0000;;3,5;;
050222;0000;;3,82174;;
050223;0000;;3,89565;;
