FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
041123;0000;;0,456521;;
041124;0000;;2,16818;;
041125;0000;;3,14761;;
041126;0000;;2,40869;;
041127;0000;;2,58695;;
041128;0000;;2,62608;;
041129;0000;;3,4;;
041130;0000;;7,88695;;
041201;0000;;5,27825;;
041202;0000;;5,06087;;
041203;0000;;3,54782;;
041204;0000;;7,43478;;
041205;0000;;;;
041206;0000;;;;
041207;0000;;3,7913;;
041208;0000;;2,47391;;
041209;0000;;4,97826;;
041210;0000;;1,95652;;
041211;0000;;3,22173;;
041212;0000;;3,46521;;
041213;0000;;2,41304;;
041214;0000;;3,86956;;
041215;0000;;5,26086;;
041216;0000;;7,69999;;
041217;0000;;4,50869;;
041218;0000;;3,53043;;
041219;0000;;8,06085;;
041220;0000;;3,83043;;
041221;0000;;4,63043;;
041222;0000;;8,33911;;
041223;0000;;4,58695;;
041224;0000;;3,23913;;
041225;0000;;1,46087;;
041226;0000;;1,66956;;
041227;0000;;3,02174;;
041228;0000;;4,65651;;
041229;0000;;6,77825;;
041230;0000;;7,76955;;
041231;0000;;9,96954;;
050101;0000;;1,34782;;
050102;0000;;1,41304;;
050103;0000;;2,67391;;
050104;0000;;2,52608;;
050105;0000;;4,11304;;
050106;0000;;6,76521;;
050107;0000;;3,86086;;
050108;0000;;6,85217;;
050109;0000;;2,55217;;
050110;0000;;3,03913;;
050111;0000;;5,14347;;
050112;0000;;3,83478;;
050113;0000;;2,45217;;
050114;0000;;0,994443;;
050115;0000;;1,97778;;
050116;0000;;1,16818;;
050117;0000;;1,55238;;
050118;0000;;2,18261;;
050119;0000;;2,27826;;
050120;0000;;1,88636;;
050121;0000;;;7,0826;
050122;0000;;4,65217;;
050123;0000;;4,43809;;
050124;0000;;;8,08694;
050125;0000;;2,03913;;
050126;0000;;2,79545;;
050127;0000;;1,62174;;
050128;0000;;5,93912;;
050129;0000;;2,02272;;
050130;0000;;3,43913;;
050131;0000;;3,88695;;
050201;0000;;2,85652;;
050202;0000;;3,93913;;
050203;0000;;2,2913;;
050204;0000;;2,41818;;
050205;0000;;2,72174;;
050206;0000;;2,25652;;
050207;0000;;2,36522;;
050208;0000;;4,21304;;
050209;0000;;8,95216;;
050210;0000;;14,1095;;
050211;0000;;3,53478;;
050212;0000;;4,00869;;
050213;0000;;3,26086;;
050214;0000;;8,2652;;
050215;0000;;3,05217;;
050216;0000;;3,01304;;
050217;0000;;2,86522;;
050218;0000;;2,6;;
050219;0000;;2,10434;;
050220;0000;;2,04348;;
050221;0000;;3,40869;;
050222;0000;;3,60434;;
050223;0000;;3,74782;;
050224;0000;;4,40434;;
050225;0000;;4,57825;;
050226;0000;;3,14347;;
050227;0000;;2,9826;;
050228;0000;;8,54347;;
050301;0000;;5,96086;;
050302;0000;;9,09129;;
050303;0000;;5,74347;;
050304;0000;;3,01739;;
050305;0000;;6,10869;;
050306;0000;;3,80434;;
050307;0000;;6,9826;;
050308;0000;;6,75652;;
050309;0000;;6,61304;;
050310;0000;;5,15652;;
050311;0000;;6,55217;;
050312;0000;;7,04545;;
050313;0000;;7,06956;;
050314;0000;;5,8739;;
050315;0000;;3,0826;;
050316;0000;;13,7522;;
050317;0000;;10,1087;;
050318;0000;;9,60869;;
050319;0000;;5,89565;;
050320;0000;;2,46521;;
050321;0000;;5,89565;;
050322;0000;;8,24782;;
050323;0000;;2,37619;;
050324;0000;;;6,62173;
050325;0000;;0,61739;;
050326;0000;;2,45652;;
050327;0000;;3,17826;;
050328;0000;;2,18695;;
050329;0000;;4,89999;;
050330;0000;;10,6956;;
050331;0000;;10,0478;;
050401;0000;;3,70435;;
050402;0000;;6,60869;;
050403;0000;;3,25652;;
050404;0000;;8,73477;;
050405;0000;;10,6348;;
050406;0000;;4,60869;;
050407;0000;;14,2043;;
050408;0000;;21,6043;;
050409;0000;;7,43043;;
050410;0000;;4,51303;;
050411;0000;;13,0609;;
050412;0000;;20,1789;;
050413;0000;;12,6954;;
050414;0000;;6,73477;;
050415;0000;;12,8435;;
050416;0000;;2,7913;;
050417;0000;;4,60869;;
050418;0000;;3,34347;;
050419;0000;;11,3826;;
050420;0000;;13,8913;;
050421;0000;;26,4652;;
050422;0000;;17,0304;;
050423;0000;;3,43043;;
050424;0000;;17,3434;;
050425;0000;;19,9695;;
050426;0000;;19,8521;;
050427;0000;;8,32173;;
050428;0000;;19,2956;;
050429;0000;;23,7913;;
050430;0000;;8,71303;;
050501;0000;;1,84782;;
050502;0000;;14,5956;;
050503;0000;;1,16522;;
050504;0000;;7,40434;;
050505;0000;;14,9333;;
050506;0000;;26,9521;;
050507;0000;;13,5609;;
050508;0000;;2,47826;;
050509;0000;;1,16522;;
