FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
041218;0000;;0,733333;;
041219;0000;;0,764582;;
041220;0000;;0,834999;;
041221;0000;;0,887915;;
041222;0000;;0,686249;;
041223;0000;;0,703749;;
041224;0000;;0,240833;;
041225;0000;;1,08708;;
041226;0000;;1,46458;;
041227;0000;;0,840415;;
041228;0000;;0,433333;;
041229;0000;;0,862082;;
041230;0000;;0,942498;;
041231;0000;;1,05521;;
050101;0000;;1,22429;;
050102;0000;;0,794707;;
050103;0000;;0,398958;;
050104;0000;;0,780291;;
050105;0000;;0,582333;;
050106;0000;;0,407874;;
050107;0000;;0,660374;;
050108;0000;;1,02758;;
050109;0000;;0,621124;;
050110;0000;;0,541749;;
050111;0000;;0,678207;;
050112;0000;;0,536165;;
050113;0000;;0,53429;;
050114;0000;;0,642303;;
050115;0000;;0,882166;;
050116;0000;;0,970082;;
050117;0000;;0,776999;;
050118;0000;;0,749791;;
050119;0000;;1,03146;;
050120;0000;;0,856708;;
050121;0000;;0,786457;;
050122;0000;;1,02921;;
050123;0000;;0,755082;;
050124;0000;;0,418124;;
050125;0000;;0,754416;;
050126;0000;;0,746346;;
050127;0000;;0,921665;;
050128;0000;;1,13646;;
050129;0000;;0,46075;;
050130;0000;;0,649499;;
050131;0000;;1,13762;;
050201;0000;;1,06462;;
050202;0000;;0,917749;;
050203;0000;;0,928791;;
050204;0000;;0,710427;;
050205;0000;;0,675916;;
050206;0000;;0,460833;;
050207;0000;;0,391833;;
050208;0000;;0,404624;;
050209;0000;;0,442809;;
050210;0000;;1,12523;;
050211;0000;;1,24771;;
050212;0000;;0,596333;;
050213;0000;;0,427333;;
050214;0000;;0,406833;;
050215;0000;;0,560457;;
050216;0000;;0,523999;;
050217;0000;;0,593665;;
050218;0000;;0,569374;;
050219;0000;;0,447999;;
050220;0000;;0,516665;;
050221;0000;;0,470499;;
050222;0000;;0,514124;;
050223;0000;;0,0489166;;
050224;0000;;0,576416;;
050225;0000;;0,680332;;
050226;0000;;0,642165;;
050227;0000;;0,729624;;
050228;0000;;0,416916;;
050301;0000;;0,611833;;
050302;0000;;0,561166;;
050303;0000;;1,18167;;
050304;0000;;0,272041;;
050305;0000;;0;;
050306;0000;;0,669582;;
050307;0000;;0,501582;;
050308;0000;;0,488958;;
050309;0000;;0,485624;;
050310;0000;;1,21446;;
050311;0000;;1,27617;;
050312;0000;;0,927347;;
050313;0000;;0,653874;;
050314;0000;;0,488082;;
050315;0000;;0,703249;;
050316;0000;;0,626749;;
050317;0000;;0,222875;;
050318;0000;;0,731082;;
050319;0000;;0,644958;;
050320;0000;;0,522999;;
050321;0000;;0,172375;;
050322;0000;;0,788499;;
050323;0000;;0,511707;;
050324;0000;;0,837207;;
050325;0000;;1,96137;;
050326;0000;;0,400708;;
050327;0000;;0,443083;;
